date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2022-04-14,5058573037,5058573037,0,0,3604374870,0,0,0,0,0,1454198167,3604374870,3604374870
2022-04-15,5058642621,5058642621,0,0,3713676021,0,0,0,0,0,1344966600,3713676021,3713676021
2022-04-16,5058711701,5058711701,0,0,3742874327,0,0,0,0,0,1315837374,3742874327,3742874327
2022-04-17,5058780003,5058780003,0,0,3797232017,0,0,0,0,0,1261547986,3797232017,3797232017
2022-04-18,5058846120,5058846120,0,0,3807856816,0,0,0,0,0,1250989304,3807856816,3807856816
2022-04-19,5058913170,5058913170,0,0,3808167089,0,0,0,0,0,1250746081,3808167089,3808167089
2022-04-20,5058980311,5058980311,0,0,3808483896,0,0,0,0,0,1250496415,3808483896,3808483896
2022-04-21,5059048606,5059048606,0,0,3808797177,0,0,0,0,0,1250251428,3808797177,3808797177
2022-04-22,5059114921,5059114921,0,0,3809120700,0,0,0,0,0,1249994221,3809120700,3809120700
2022-04-23,5059184242,5059184242,0,0,3809446690,0,0,0,0,0,1249737551,3809446690,3809446690
2022-04-24,5059254372,5059254372,0,0,3809767010,0,0,0,0,0,1249487362,3809767010,3809767010
2022-04-25,5059323412,5059323412,0,0,3810085231,0,0,0,0,0,1249238181,3810085231,3810085231
2022-04-26,5059392741,5059392741,0,0,3810390344,0,0,0,0,0,1249002397,3810390344,3810390344
2022-04-27,5059462403,5059462403,0,0,3810724115,0,0,0,0,0,1248738288,3810724115,3810724115
2022-04-28,5059530741,5059530741,0,0,3811051553,0,0,0,0,0,1248479188,3811051553,3811051553
2022-04-29,5059599413,5059599413,0,0,3811351788,0,0,0,0,0,1248247625,3811351788,3811351788
2022-04-30,5059668438,5059668438,0,0,3811677135,0,0,0,0,0,1247991303,3811677135,3811677135
2022-05-01,5059736627,5059736627,0,0,3811999004,0,0,0,0,0,1247737623,3811999004,3811999004
2022-05-02,5059804781,5059804781,0,0,3812320759,0,0,0,0,0,1247484023,3812320759,3812320759
2022-05-03,5059873481,5059873481,0,0,3812630417,0,0,0,0,0,1247243064,3812630417,3812630417
2022-05-04,5059941750,5059941750,0,0,3812939885,0,0,0,0,0,1247001865,3812939885,3812939885
2022-05-05,5060009629,5060009629,0,0,3813247025,0,0,0,0,0,1246762604,3813247025,3813247025
2022-05-06,5060077397,5060077397,0,0,3813542232,0,0,0,0,0,1246535165,3813542232,3813542232
2022-05-07,5060143698,5060143698,0,0,3813863825,0,0,0,0,0,1246279874,3813863825,3813863825
2022-05-08,5060211962,5060211962,0,0,3814170521,0,0,0,0,0,1246041441,3814170521,3814170521
2022-05-09,5060279947,5060279947,0,0,3814491203,0,0,0,0,0,1245788744,3814491203,3814491203
2022-05-10,5060346536,5060346536,0,0,3814813581,0,0,0,0,0,1245532955,3814813581,3814813581
2022-05-11,5060414634,5060414634,0,0,3815108545,0,0,0,0,0,1245306089,3815108545,3815108545
2022-05-12,5060480896,5060480896,0,0,3815418833,0,0,0,0,0,1245062063,3815418833,3815418833
2022-05-13,5060546703,5060546703,0,0,3815741846,0,0,0,0,0,1244804857,3815741846,3815741846
2022-05-14,5060614285,5060614285,0,0,3816040581,0,0,0,0,0,1244573704,3816040581,3816040581
2022-05-15,5060683231,5060683231,0,0,3816348797,0,0,0,0,0,1244334433,3816348797,3816348797
