DATE,PUBLIC_DISTRIBUTION_DAILY,FLARE_LABS_DAILY,FLARE_VC_FUND_DAILY,FLARE_FOUNDATION_DAILY,FOUNDING_TEAM_DAILY,REST_TEAM_ADVISORS_DAILY,BACKERS_DAILY,BURNS_DAILY,TOTAL_UNLOCKS_DAILY,FOUNDATION_UNLOCKS_DAILY,CUMULATIVE_FOUNDATION_UNLOCKS,TEAM_UNLOCKS_DAILY,CUMULATIVE_TEAM_UNLOCKS,NET_SUPPLY_CHANGE,CUMULATIVE_INFLATION,CUMULATIVE_UNLOCKS,CUMULATIVE_BURNS
2023-07-17,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,13996199640.451600,17966129.032258,9658945161.290330,56822601.193548,0,23655144801.741930,0.000000
2023-07-18,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14035056112.612890,17966129.032258,9676911290.322588,56822601.193548,0,23711967402.935478,0.000000
2023-07-19,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14073912584.774180,17966129.032258,9694877419.354846,56822601.193548,0,23768790004.129026,0.000000
2023-07-20,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14112769056.935470,17966129.032258,9712843548.387104,56822601.193548,0,23825612605.322574,0.000000
2023-07-21,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14151625529.096760,17966129.032258,9730809677.419362,56822601.193548,0,23882435206.516122,0.000000
2023-07-22,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14190482001.258050,17966129.032258,9748775806.451620,56822601.193548,0,23939257807.709670,0.000000
2023-07-23,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14229338473.419340,17966129.032258,9766741935.483878,56822601.193548,0,23996080408.903218,0.000000
2023-07-24,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14268194945.580630,17966129.032258,9784708064.516136,56822601.193548,0,24052903010.096766,0.000000
2023-07-25,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14307051417.741920,17966129.032258,9802674193.548394,56822601.193548,0,24109725611.290314,0.000000
2023-07-26,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14345907889.903210,17966129.032258,9820640322.580652,56822601.193548,0,24166548212.483862,0.000000
2023-07-27,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14384764362.064500,17966129.032258,9838606451.612910,56822601.193548,0,24223370813.677410,0.000000
2023-07-28,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14423620834.225790,17966129.032258,9856572580.645168,56822601.193548,0,24280193414.870958,0.000000
2023-07-29,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14462477306.387080,17966129.032258,9874538709.677426,56822601.193548,0,24337016016.064506,0.000000
2023-07-30,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14501333778.548370,17966129.032258,9892504838.709684,56822601.193548,0,24393838617.258054,0.000000
2023-07-31,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14540190250.709660,17966129.032258,9910470967.741942,56822601.193548,0,24450661218.451602,0.000000
2023-08-01,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14579046722.870950,17966129.032258,9928437096.774200,56822601.193548,0,24507483819.645150,0.000000
2023-08-02,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14617903195.032240,17966129.032258,9946403225.806458,56822601.193548,0,24564306420.838698,0.000000
2023-08-03,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14656759667.193530,17966129.032258,9964369354.838716,56822601.193548,0,24621129022.032246,0.000000
2023-08-04,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14695616139.354820,17966129.032258,9982335483.870974,56822601.193548,0,24677951623.225794,0.000000
2023-08-05,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14734472611.516110,17966129.032258,10000301612.903232,56822601.193548,0,24734774224.419342,0.000000
2023-08-06,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14773329083.677400,17966129.032258,10018267741.935490,56822601.193548,0,24791596825.612890,0.000000
2023-08-07,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14812185555.838690,17966129.032258,10036233870.967748,56822601.193548,0,24848419426.806438,0.000000
2023-08-08,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14851042027.999980,17966129.032258,10054200000.000006,56822601.193548,0,24905242027.999986,0.000000
2023-08-09,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14889898500.161270,17966129.032258,10072166129.032264,56822601.193548,0,24962064629.193534,0.000000
2023-08-10,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14928754972.322560,17966129.032258,10090132258.064522,56822601.193548,0,25018887230.387082,0.000000
2023-08-11,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,14967611444.483850,17966129.032258,10108098387.096780,56822601.193548,0,25075709831.580630,0.000000
