date,premine_unlocks_native,circulating_supply_native
2022-09-20,"1,367,989.06","693,570,451.44"
2022-09-21,"1,367,989.06","694,938,440.49"
2022-09-22,"1,367,989.06","696,306,429.55"
2022-09-23,"1,367,989.06","697,674,418.60"
2022-09-24,"1,367,989.06","699,042,407.66"
2022-09-25,"1,367,989.06","700,410,396.72"
2022-09-26,"1,367,989.06","701,778,385.77"
2022-09-27,"1,367,989.06","703,146,374.83"
2022-09-28,"1,367,989.06","704,514,363.89"
2022-09-29,"1,367,989.06","705,882,352.94"
2022-09-30,"1,367,989.06","707,250,342.00"
2022-10-01,"1,367,989.06","708,618,331.05"
2022-10-02,"1,367,989.06","709,986,320.11"
2022-10-03,"1,367,989.06","711,354,309.17"
2022-10-04,"1,367,989.06","712,722,298.22"
2022-10-05,"1,367,989.06","714,090,287.28"
2022-10-06,"1,367,989.06","715,458,276.33"
2022-10-07,"1,367,989.06","716,826,265.39"
2022-10-08,"1,367,989.06","718,194,254.45"
2022-10-09,"1,367,989.06","719,562,243.50"
2022-10-10,"1,367,989.06","720,930,232.56"
2022-10-11,"1,367,989.06","722,298,221.61"
2022-10-12,"1,367,989.06","723,666,210.67"
2022-10-13,"1,367,989.06","725,034,199.73"
2022-10-14,"1,367,989.06","726,402,188.78"
2022-10-15,"1,367,989.06","727,770,177.84"
2022-10-16,"1,367,989.06","729,138,166.89"
2022-10-17,"1,367,989.06","730,506,155.95"
2022-10-18,"1,367,989.06","731,874,145.01"
2022-10-19,"1,367,989.06","733,242,134.06"
2022-10-20,"1,367,989.06","734,610,123.12"
2022-10-21,"1,367,989.06","735,978,112.18"
2022-10-22,"1,367,989.06","737,346,101.23"
2022-10-23,"1,367,989.06","738,714,090.29"
2022-10-24,"1,367,989.06","740,082,079.34"
2022-10-25,"1,367,989.06","741,450,068.40"
2022-10-26,"1,367,989.06","742,818,057.46"
2022-10-27,"1,367,989.06","744,186,046.51"
2022-10-28,"1,367,989.06","745,554,035.57"
2022-10-29,"1,367,989.06","746,922,024.62"
2022-10-30,"1,367,989.06","748,290,013.68"
2022-10-31,"1,367,989.06","749,658,002.74"
2022-11-01,"1,367,989.06","751,025,991.79"
2022-11-02,"1,367,989.06","752,393,980.85"
2022-11-03,"1,367,989.06","753,761,969.90"
2022-11-04,"1,367,989.06","755,129,958.96"
2022-11-05,"1,367,989.06","756,497,948.02"
2022-11-06,"1,367,989.06","757,865,937.07"
